nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,velocity-magnitude
         1, 2.000000000E+03, 5.190319214E+02, 0.000000000E+00, 0.000000000E+00
         2, 1.965175781E+03, 5.285330811E+02, 0.000000000E+00, 0.000000000E+00
         3, 1.952629883E+03, 5.319559326E+02, 0.000000000E+00, 0.000000000E+00
         4, 1.927625488E+03, 5.387778931E+02, 0.000000000E+00, 0.000000000E+00
         5, 1.924170288E+03, 5.397206421E+02, 0.000000000E+00, 0.000000000E+00
         6, 1.923202148E+03, 5.399847412E+02, 0.000000000E+00, 0.000000000E+00
         7, 1.920440063E+03, 5.407383423E+02, 0.000000000E+00, 0.000000000E+00
         8, 1.902211060E+03, 5.457117920E+02, 0.000000000E+00, 0.000000000E+00
         9, 1.889920654E+03, 5.490649414E+02, 0.000000000E+00, 0.000000000E+00
        10, 1.880062500E+03, 5.517545776E+02, 0.000000000E+00, 0.000000000E+00
        11, 1.873041138E+03, 5.536702271E+02, 0.000000000E+00, 0.000000000E+00
        12, 1.868029907E+03, 5.550374756E+02, 0.000000000E+00, 0.000000000E+00
        13, 1.854557495E+03, 5.587131348E+02, 0.000000000E+00, 0.000000000E+00
        14, 1.846376465E+03, 5.609451294E+02, 0.000000000E+00, 0.000000000E+00
        15, 1.832446289E+03, 5.647457886E+02, 0.000000000E+00, 0.000000000E+00
        16, 1.830357178E+03, 5.653157349E+02, 0.000000000E+00, 0.000000000E+00
        17, 1.808903687E+03, 5.711689453E+02, 0.000000000E+00, 0.000000000E+00
        18, 1.806141968E+03, 5.719224243E+02, 0.000000000E+00, 0.000000000E+00
        19, 1.780460327E+03, 5.789291382E+02, 0.000000000E+00, 0.000000000E+00
        20, 1.768438965E+03, 5.822088623E+02, 0.000000000E+00, 0.000000000E+00
        21, 1.755102173E+03, 5.858475952E+02, 0.000000000E+00, 0.000000000E+00
        22, 1.733022339E+03, 5.918717041E+02, 0.000000000E+00, 0.000000000E+00
        23, 1.730655151E+03, 5.925175171E+02, 0.000000000E+00, 0.000000000E+00
        24, 1.729312256E+03, 5.928839111E+02, 0.000000000E+00, 0.000000000E+00
        25, 1.707945557E+03, 5.987134399E+02, 0.000000000E+00, 0.000000000E+00
        26, 1.696058105E+03, 6.019566650E+02, 0.000000000E+00, 0.000000000E+00
        27, 1.692934326E+03, 6.028088989E+02, 0.000000000E+00, 0.000000000E+00
        28, 1.691562622E+03, 6.031831665E+02, 0.000000000E+00, 0.000000000E+00
        29, 1.681896240E+03, 6.058204956E+02, 0.000000000E+00, 0.000000000E+00
        30, 1.679102905E+03, 6.065825806E+02, 0.000000000E+00, 0.000000000E+00
        31, 1.678529297E+03, 6.067390137E+02, 0.000000000E+00, 0.000000000E+00
        32, 1.668885620E+03, 6.093701172E+02, 0.000000000E+00, 0.000000000E+00
        33, 1.663492676E+03, 6.108414917E+02, 0.000000000E+00, 0.000000000E+00
        34, 1.660970459E+03, 6.115296631E+02, 0.000000000E+00, 0.000000000E+00
        35, 1.659537354E+03, 6.119206543E+02, 0.000000000E+00, 0.000000000E+00
        36, 1.655351074E+03, 6.130628662E+02, 0.000000000E+00, 0.000000000E+00
